Año;Pensión Mensual (€);Pensión Anual (€);Estado del dato
1990;1245,01;17430,14;Oficial (Ptas convertidas)
1991;1328,43;18598,02;Oficial
1992;1404,15;19658,10;Oficial
1993;1475,76;20660,64;Oficial
1994;1540,69;21569,66;Oficial
1995;1608,48;22518,72;Oficial
1996;1664,78;23306,92;Oficial
1997;1708,06;23912,84;Oficial
1998;1743,93;24415,02;Oficial
1999;1791,00;25074,00;Oficial
2000;1864,45;26102,30;Oficial
2001;1914,80;26807,20;Oficial
2002;1989,48;27852,72;Oficial (Inicio Euro físico)
2003;2045,19;28632,66;Oficial
2004;2116,78;29634,92;Oficial
2005;2188,76;30642,64;Oficial
2006;2245,67;31439,38;Oficial
2007;2337,75;32728,50;Oficial
2008;2393,87;33514,18;Oficial
2009;2441,75;34184,50;Oficial
2010;2497,91;34970,74;Oficial
2011;2497,91;34970,74;Oficial (Congelación)
2012;2522,89;35320,46;Oficial
2013;2548,12;35673,68;Oficial
2014;2554,49;35762,86;Oficial (Subida 0,25%)
2015;2560,88;35852,32;Oficial (Subida 0,25%)
2016;2567,28;35941,92;Oficial (Subida 0,25%)
2017;2573,70;36031,80;Oficial (Subida 0,25%)
2018;2580,13;36121,82;Oficial
2019;2659,41;37231,74;Oficial
2020;2683,34;37566,76;Oficial
2021;2707,49;37904,86;Oficial
2022;2819,19;39468,66;Oficial
2023;3058,81;42823,34;Oficial (Subida 8,5%)
2024;3175,04;44450,56;Oficial
2025;3267,60;45746,40;Oficial
2026;3359,60;47034,40;Dato Actual
2027;3430,66;48029,24;Estimación (IPC 2% + 0,115%)
2028;3503,24;49045,36;Estimación
2029;3577,35;50082,90;Estimación
2030;3653,02;51142,28;Estimación
2031;3730,28;52223,92;Estimación
2032;3809,16;53328,24;Estimación
2033;3889,73;54456,22;Estimación
2034;3972,01;55608,14;Estimación
2035;4056,01;56784,14;Estimación
2036;4141,80;57985,20;Estimación
2037;4229,40;59211,60;Estimación
2038;4318,85;60463,90;Estimación Final
