Meses de adelanto;Menos de 38 años y 6 meses;Menos de 41 años y 6 meses;Menos de 44 años y 6 meses;44 años y 6 meses o más
48;30,00%;28,00%;26,00%;24,00%
47;29,38%;27,42%;25,46%;23,50%
46;28,75%;26,83%;24,92%;23,00%
45;28,13%;26,25%;24,38%;22,50%
44;27,50%;25,67%;23,83%;22,00%
43;26,88%;25,08%;23,29%;21,50%
42;26,25%;24,50%;22,75%;21,00%
41;25,63%;23,92%;22,21%;20,50%
40;25,00%;23,33%;21,67%;20,00%
39;24,38%;22,75%;21,13%;19,50%
38;23,75%;22,17%;20,58%;19,00%
37;23,13%;21,58%;20,04%;18,50%
36;22,50%;21,00%;19,50%;18,00%
35;21,88%;20,42%;18,96%;17,50%
34;21,25%;19,83%;18,42%;17,00%
33;20,63%;19,25%;17,88%;16,50%
32;20,00%;18,67%;17,33%;16,00%
31;19,38%;18,08%;16,79%;15,50%
30;18,75%;17,50%;16,25%;15,00%
29;18,13%;16,92%;15,71%;14,50%
28;17,50%;16,33%;15,17%;14,00%
27;16,88%;15,75%;14,63%;13,50%
26;16,25%;15,17%;14,08%;13,00%
25;15,63%;14,58%;13,54%;12,50%
24;15,00%;14,00%;13,00%;12,00%
23;14,38%;13,42%;12,46%;11,50%
22;13,75%;12,83%;11,92%;11,00%
21;12,57%;12,00%;11,38%;10,00%
20;11,00%;10,50%;10,00%;9,20%
19;9,78%;9,33%;8,89%;8,40%
18;8,80%;8,40%;8,00%;7,60%
17;8,00%;7,64%;7,27%;6,91%
16;7,33%;7,00%;6,67%;6,33%
15;6,77%;6,46%;6,15%;5,85%
14;6,29%;6,00%;5,71%;5,43%
13;5,87%;5,60%;5,33%;5,07%
12;5,50%;5,25%;5,00%;4,75%
11;5,18%;4,94%;4,71%;4,47%
10;4,89%;4,67%;4,44%;4,22%
9;4,63%;4,42%;4,21%;4,00%
8;4,40%;4,20%;4,00%;3,80%
7;4,19%;4,00%;3,81%;3,62%
6;3,75%;3,50%;3,25%;3,00%
5;3,13%;2,92%;2,71%;2,50%
4;2,50%;2,33%;2,17%;2,00%
3;1,88%;1,75%;1,63%;1,50%
2;1,25%;1,17%;1,08%;1,00%
1;0,63%;0,58%;0,54%;0,50%
