Meses de adelanto;Menos de 38 años y 6 meses;Menos de 41 años y 6 meses;Menos de 44 años y 6 meses;44 años y 6 meses o más
24;21,00%;19,00%;17,00%;13,00%
23;17,60%;16,50%;15,00%;12,00%
22;14,65%;14,00%;13,33%;11,00%
21;12,57%;12,00%;11,43%;10,00%
20;11,00%;10,50%;10,00%;9,20%
19;9,78%;9,33%;8,89%;8,40%
18;8,80%;8,40%;8,00%;7,60%
17;8,00%;7,64%;7,27%;6,91%
16;7,33%;7,00%;6,67%;6,33%
15;6,77%;6,46%;6,15%;5,85%
14;6,29%;6,00%;5,71%;5,43%
13;5,87%;5,60%;5,33%;5,07%
12;5,50%;5,25%;5,00%;4,75%
11;5,18%;4,94%;4,71%;4,47%
10;4,89%;4,67%;4,44%;4,22%
9;4,63%;4,42%;4,21%;4,00%
8;4,40%;4,20%;4,00%;3,80%
7;4,19%;4,00%;3,81%;3,62%
6;4,00%;3,82%;3,64%;3,45%
5;3,83%;3,65%;3,48%;3,30%
4;3,67%;3,50%;3,33%;3,17%
3;3,52%;3,36%;3,20%;3,04%
2;3,38%;3,23%;3,08%;2,92%
1;3,26%;3,11%;2,96%;2,81%
