Año;Hombres;Mujeres
2024;81,38;86,53
2025;81,50;86,60
2026;81,62;86,66
2027;81,74;86,73
2028;81,86;86,80
2029;81,98;86,86
2030;82,10;86,93
2031;82,22;87,00
2032;82,34;87,06
2033;82,46;87,13
2034;82,58;87,20
2035;82,70;87,26
2036;82,82;87,33
2037;82,94;87,40
2038;83,06;87,46
2039;83,18;87,53
2040;83,30;87,60
2041;83,34;87,63
2042;83,38;87,66
2043;83,42;87,70
2044;83,46;87,73
2045;83,50;87,76
2046;83,54;87,80
2047;83,58;87,83
2048;83,62;87,86
2049;83,66;87,90
2050;83,70;87,93
